"All ages","0-14","15-54","55-64","65+","55+","<55","15-24","25-54"
10.3575877122082,0.312106605008192,3.1583935766804,13.0742586489887,35.0441085959236,26.1719232335898,2.51426487328854,1.10251005198143,3.73799836482877
44.7472889418264,1.08933652083695,20.5087052114795,54.002889530342,135.302326268159,102.466235155197,16.1160720765105,11.9068544892004,22.9318993786922
44.7472889418264,1.08933652083695,20.5087052114795,54.0028895303421,135.302326268159,102.466235155197,16.1160720765105,11.9068544892004,22.9318993786922
44.7472889418264,1.08933652083695,20.5087052114795,54.002889530342,135.302326268159,102.466235155197,16.1160720765105,11.9068544892004,22.9318993786922
34.8120531898502,0.847808554225055,14.8893819035366,42.2152182210747,107.908223030846,81.3762680094396,11.7132113271941,7.94244369299389,16.8463666697218
25.6267524403167,0.677264241296659,9.82217186865546,31.5283750247371,82.0673468798344,61.6560374067997,7.75361798589941,4.74680777255232,11.2519234302856
25.8039876421087,0.681974193960177,9.89975858264033,31.6916864165744,82.6467250535274,62.0673775786462,7.81472016950554,4.89125255274604,11.3106759438546
25.9421925558669,0.64772740564428,10.3005745475866,31.5806839010301,82.3967015459548,61.8738581674255,8.11713104722596,4.85127730123011,11.8356597788447
10.7475869384068,0.374208191704069,3.29333744644108,13.4842562006548,36.331203621155,27.1043349317945,2.6330409063523,0.954130810174736,3.95229819100428
11.1300206870969,0.38069973984575,3.44885245584609,13.8782468668743,37.5870624238822,28.0121234222503,2.75484734471526,1.13644670831949,4.10026331861386
41.0564114474917,0.948313472064789,16.8622397688268,50.266842395662,128.809065243924,97.0868084048155,13.2625432004902,8.76149664876555,19.1442603963861
37.6984502768628,0.879346157693087,13.5582369177288,46.9063337090519,122.795272319288,92.1447234462245,10.6903012208368,6.25153979498722,15.616568722272
37.7158152149796,0.883145074982288,13.5920804864353,46.9043775389599,122.79298359338,92.1425690352578,10.7173487590443,6.41395786530498,15.6141922340262
33.2689910689947,0.789316080776918,13.3710667630594,40.6666904339488,105.168083439741,79.1174743983698,10.5251082556026,6.63795814407409,15.2678116141082
23.4037216639525,0.605634484231337,7.65936081618076,29.3387052339205,78.0181050133981,58.357903871244,6.06382911889631,2.99556993541922,8.97316786782749
23.6035542571496,0.611387436974097,7.75806523775516,29.5259430863857,78.6395355175614,58.8039765257728,6.14150819757382,3.18850664342434,9.04532670758427
25.9222742097006,0.647386782025025,10.2769265806324,31.5454280148916,82.3819581690346,61.8508304520899,8.09875513949337,4.83912316156515,11.8087739534235
10.7410814363954,0.374208191704069,3.28590550239766,13.4725614966161,36.3256618837167,27.0963082840604,2.62729004132587,0.952205058886371,3.94331513778508
11.1300206870969,0.38069973984575,3.44885245584609,13.8782468668743,37.5870624238822,28.0121234222503,2.75484734471526,1.13644670831949,4.10026331861386
37.7601675192569,0.824189129006054,13.6653129415288,46.9764356392244,122.821307337317,92.1886811393098,10.7606855677543,6.02397275356298,15.8179100638713
32.2009023822189,0.712922828946901,8.380185396711,41.5605154643577,112.279404874777,83.7172252806564,6.64587422317994,2.08603903198846,10.1532693614231
32.2265723604605,0.719366863767249,8.43435038019293,41.5538912649656,112.267096268184,83.7072125112961,6.68924487508083,2.35978952647217,10.1455763063595
31.8090092665433,0.734439597093213,11.9480847732334,39.212083440524,102.532430245909,76.9588951117042,9.41159118720959,5.42045507392242,13.7869424417403
21.4581379811114,0.542178948320325,5.81493126385338,27.4606332430151,74.3220752736638,55.3961672681551,4.62225229400576,1.51275344657617,7.02686832473893
21.6773696581697,0.548774639121665,5.9310897146643,27.6690387238038,74.9809863863121,55.8731328884099,4.71362801429528,1.74484337606514,7.11036851233976
25.9022660924836,0.647044800459332,10.2531967583506,31.5100262624435,82.3670746827446,61.8276603030051,8.08031558466564,4.82694408714652,11.7817902379617
10.7345363721795,0.374208191704069,3.2784408724784,13.4608009109428,36.320050164008,27.0882133101208,2.62151388385117,0.950274580017788,3.93429152276363
11.1300206870969,0.38069973984575,3.44885245584609,13.8782468668743,37.5870624238822,28.0121234222503,2.75484734471526,1.13644670831949,4.10026331861386
