"redu","type","VE_I","VE_D","dur","count","run"
0,1,0,0,5,1,1
0,1,0,0,10,2,1
0,1,0,0,100,3,1
27.14,1,0,0.5,5,4,1
45.79,1,0,0.5,10,5,1
45.68,1,0,0.5,100,6,1
48.78,1,0,1,5,7,1
78.41,1,0,1,10,8,1
77.13,1,0,1,100,9,1
9.88,1,0.5,0,5,10,1
15.95,1,0.5,0,10,11,1
16.6,1,0.5,0,100,12,1
30.74,1,0.5,0.5,5,13,1
50.02,1,0.5,0.5,10,14,1
49.81,1,0.5,0.5,100,15,1
49.17,1,0.5,1,5,16,1
78.6,1,0.5,1,10,17,1
77.13,1,0.5,1,100,18,1
17.96,1,1,0,5,19,1
27.57,1,1,0,10,20,1
28.51,1,1,0,100,21,1
33.99,1,1,0.5,5,22,1
53.64,1,1,0.5,10,23,1
53.33,1,1,0.5,100,24,1
49.56,1,1,1,5,25,1
78.79,1,1,1,10,26,1
77.13,1,1,1,100,27,1
-4.1,1,0,0,5,1,2
-4.1,1,0,0,10,2,2
-4.1,1,0,0,100,3,2
24.53,1,0,0.5,5,4,2
44.03,1,0,0.5,10,5,2
43.59,1,0,0.5,100,6,2
47.12,1,0,1,5,7,2
77.82,1,0,1,10,8,2
75.72,1,0,1,100,9,2
6.47,1,0.5,0,5,10,2
12.99,1,0.5,0,10,11,2
13.61,1,0.5,0,100,12,2
28.18,1,0.5,0.5,5,13,2
48.34,1,0.5,0.5,10,14,2
47.8,1,0.5,0.5,100,15,2
47.31,1,0.5,1,5,16,2
77.91,1,0.5,1,10,17,2
75.72,1,0.5,1,100,18,2
15.14,1,1,0,5,19,2
25.46,1,1,0,10,20,2
26.33,1,1,0,100,21,2
31.49,1,1,0.5,5,22,2
52.04,1,1,0.5,10,23,2
51.4,1,1,0.5,100,24,2
47.49,1,1,1,5,25,2
78.01,1,1,1,10,26,2
75.72,1,1,1,100,27,2
-4.1,1,0,0,5,1,2
-4.1,1,0,0,10,2,2
-4.1,1,0,0,100,3,2
24.53,1,0,0.5,5,4,2
44.03,1,0,0.5,10,5,2
43.59,1,0,0.5,100,6,2
47.12,1,0,1,5,7,2
77.82,1,0,1,10,8,2
75.72,1,0,1,100,9,2
6.47,1,0.5,0,5,10,2
12.99,1,0.5,0,10,11,2
13.61,1,0.5,0,100,12,2
28.18,1,0.5,0.5,5,13,2
48.34,1,0.5,0.5,10,14,2
47.8,1,0.5,0.5,100,15,2
47.31,1,0.5,1,5,16,2
77.91,1,0.5,1,10,17,2
75.72,1,0.5,1,100,18,2
15.14,1,1,0,5,19,2
25.46,1,1,0,10,20,2
26.33,1,1,0,100,21,2
31.49,1,1,0.5,5,22,2
52.04,1,1,0.5,10,23,2
51.4,1,1,0.5,100,24,2
47.49,1,1,1,5,25,2
78.01,1,1,1,10,26,2
75.72,1,1,1,100,27,2
